,mean,median,std,min,max,range,skewness,kurtosis,cv
ID,28614978.842105262,906539.0,120424693.8628244,8670.0,911320501.0,911311831.0,6.800608698500803,47.05025785628884,420.84495161543344
radiusMean,14.068673684210527,13.28,3.486376539551836,6.981,27.42,20.439,0.8122779537860029,0.45872106909523724,24.78113159639665
 textureMean,19.116210526315793,18.7,4.516754298403039,10.38,39.28,28.9,0.7901889738694033,1.2297232643491078,23.627874845724136
 perimeterMean,91.55505263157895,86.1,24.02868651819058,43.79,186.9,143.11,0.8570703898890654,0.5912227671159944,26.24506876194254
 areaMean,649.6178947368421,546.4,343.9792655617448,143.5,2501.0,2357.5,1.5232440366148012,3.1896633872244804,52.951014488461645
 smoothnessMean,0.09585119298245613,0.09514,0.013893540422555728,0.05263,0.1634,0.11076999999999998,0.3783433551171455,1.3487853211191636,14.494906104192875
 compactnessMean,0.10260519298245614,0.09228,0.05142200743154716,0.01938,0.3454,0.32602,1.087375979856469,1.6624176454268689,50.116379041691886
 concavityMean,0.08558702701754385,0.06195,0.0757174400783598,0.0,0.4108,0.4108,1.322737812280348,1.9727796081510354,88.4683610552789
 concavePointsMean,0.04792967719298245,0.03326,0.03740916964491713,0.0,0.1689,0.1689,0.9948551577266673,0.4198881483335608,78.05011808090028
 symmetryMean,0.1829077192982456,0.1814,0.028606284583416422,0.1215,0.304,0.1825,0.7922748884438094,1.6440127510640625,15.639736088323094
 fractalDimensionMean,0.06261105263157894,0.06132,0.006849922864840334,0.05025,0.09502,0.04476999999999999,1.271581346533672,2.9739883200277584,10.940437154358685
 radiusStdErr,0.39620456140350874,0.3316,0.2530803240808475,0.1166,2.547,2.4304,3.0406721789650706,18.38953498688534,63.87617628235773
 textureStdErr,1.2215915789473684,1.093,0.5627880107103017,0.3602,4.885,4.5248,1.909975144676893,7.253332183511879,46.070063056201626
 perimeterStdErr,2.7908147368421052,2.346,1.7926925695744411,0.7714,18.65,17.8786,3.382007878382725,21.963113333020132,64.23545590141642
 areaStdErr,39.43302807017544,25.03,44.02047078747935,7.254,542.2,534.946,6.088080557899798,60.610816843674215,111.633503542107
 smoothnessStdErr,0.007049259649122805,0.006294,0.0031263044639572505,0.001713,0.03113,0.029417000000000002,2.67729666122406,13.592237641834874,44.34940149135067
 compactnessStdErr,0.02491860350877193,0.02101,0.016489126285178946,0.002252,0.1064,0.10414799999999999,1.7267317235078274,4.312220008959442,66.17195172825151
 concavityStdErr,0.03066299543859649,0.02572,0.03046942798721206,0.0,0.396,0.396,6.560604324684203,72.87868709485193,99.36872621668012
 concavePointsStdErr,0.011642884210526314,0.01065,0.00645823622173272,0.0,0.05279,0.05279,1.7059208791265241,6.9593338724177505,55.46938460397843
 symmetryStdErr,0.02037879298245614,0.01843,0.008196267583820357,0.009539,0.07895,0.069411,2.612685475106588,12.054758185875425,40.219592940938284
 fractalDimensionStdErr,0.0037493414035087718,0.003249,0.0027810353916387543,0.0009683,0.02984,0.0288717,5.303759007492581,40.2354562342679,74.17397063484692
 radiusWorst,16.214354385964914,14.97,4.820742014216312,7.93,36.04,28.11,1.0732895507949882,0.9515685739528275,29.73132262601296
 textureWorst,25.568736842105263,25.41,6.318777835024064,12.49,49.54,37.05,0.45785765140551166,0.12218844386174821,24.712905741274753
 perimeterWorst,106.8661754385965,97.82,33.39030797490874,50.41,251.2,200.79,1.1002329261770583,1.1398722824097272,31.24497329287717
 areaWorst,878.2263157894737,684.5,572.2572460072985,185.2,4254.0,4068.8,1.9345101615457627,5.273744114509294,65.16056689702732
 smoothnessWorst,0.13194017543859649,0.1312,0.02237687921852961,0.07117,0.2184,0.14723000000000003,0.33776158633706205,0.45700021046157735,16.959867715913084
 compactnessWorst,0.2510418947368421,0.2158,0.15379472136467093,0.02729,0.9379,0.9106099999999999,1.2762573154683177,1.8903550219452718,61.262571940786316
 concavityWorst,0.26325054385964913,0.2177,0.199783473705687,0.0,0.9019,0.9019,0.8884555883543924,0.30292948851090573,75.89100131629763
 concavePointsWorst,0.11372947017543861,0.09975,0.06746113009060922,0.0,0.2903,0.2903,0.47855936344696715,-0.5733682900998098,59.317193675961
 symmetryWorst,0.2916361403508772,0.2841,0.06295745259429841,0.1603,0.5774,0.4171,1.2824256074130926,3.34879842237748,21.58767171947626
 fractalDimensionWorst,0.08334094736842106,0.07957,0.01633495565381213,0.05843,0.1431,0.08467,1.2006624947414888,1.4419180448712048,19.600155949273084
