feature,importance_mean,importance_std
compactnessWorst,0.0166666666666667,0.018793232706691712
smoothnessStdErr,0.014035087719298279,0.010526315789473694
symmetryStdErr,0.010526315789473707,0.019536015308175503
symmetryWorst,0.010526315789473707,0.011637279966159311
perimeterStdErr,0.009649122807017574,0.0087279599746195
compactnessMean,0.009649122807017574,0.008727959974619502
areaStdErr,0.009649122807017569,0.01707712485432612
fractalDimensionStdErr,0.007894736842105282,0.010341952739080364
areaMean,0.007017543859649161,0.012892051277806207
perimeterWorst,0.006140350877193007,0.010039932580929488
concavityStdErr,0.004385964912280715,0.007596714068284572
radiusWorst,0.004385964912280715,0.007596714068284573
perimeterMean,0.0035087719298245944,0.013128622409733132
fractalDimensionMean,0.0017543859649122862,0.0052631578947368585
concavityMean,0.0017543859649122862,0.0052631578947368585
radiusStdErr,0.0008771929824561431,0.0038235955645093754
textureMean,0.0008771929824561431,0.0038235955645093754
concavityWorst,2.2204460492503132e-17,0.011095711088310103
radiusMean,0.0,0.0
symmetryMean,0.0,0.0
